Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0010a CK_0010b CK_0014a CK_0014b CK_0015a CK_0015b CK_0016a CK_0016b driver_0011a driver_0011b driver_0012a driver_0012b driver_0013a driver_0013b out_o
64 2 2 2 2 2 2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -1.241363e-03
65 2 2 2 2 2 2 -2 -2 2 2 2 2 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -1.066862e-03
66 2 2 2 2 2 2 -2 -2 2 2 2 2 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -9.257923e-04
67 2 2 2 2 2 2 -2 -2 2 2 2 2 0 0 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -9.117250e-04
68 2 2 2 2 2 2 -2 -2 2 2 2 2 6.666667e-01 6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.775362e-04
69 2 2 2 2 2 2 -2 -2 2 2 2 2 1.333333e+00 1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.457206e-04
70 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.146641e-04
71 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.146643e-04
72 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 2 2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -1.358421e-04
73 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 2 2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -1.121466e-02
74 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.390306e-02
75 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 2 2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.951387e-02
76 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 2 2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.442919e-02
77 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 2.200927e-02
78 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 2.201279e-02
79 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.957764e-02
80 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.504095e-02
